personID,bDate,dDate,ffDate,tfDate,from_date,to_date
idp1370781756,NULL,NULL,NULL,NULL,1824-01-01,1826-01-01
idp1365530716,1795-05-10,NULL,NULL,NULL,1810-01-01,1815-01-01
idp1365530716,1795-05-10,NULL,NULL,NULL,1815-01-01,1820-01-01
idp1374864540,1775-01-01,NULL,NULL,NULL,1790-01-01,1793-01-01
idp1374864540,1775-01-01,NULL,NULL,NULL,1793-01-01,1795-01-01
idp1372169036,1866-09-15,1955-01-19,1883-01-01,1884-01-01,1887-01-01,1890-01-01
idp1372169036,1866-09-15,1955-01-19,1893-01-01,1900-01-01,1887-01-01,1890-01-01
idp1372169036,1866-09-15,1955-01-19,1900-01-01,1907-01-01,1887-01-01,1890-01-01
idp1372169036,1866-09-15,1955-01-19,1907-01-01,1926-01-01,1887-01-01,1890-01-01
idp1372169036,1866-09-15,1955-01-19,1926-01-01,1933-01-01,1887-01-01,1890-01-01
idp1365142212,1825-05-08,NULL,NULL,NULL,1836-01-01,1837-01-01
idp1371710436,NULL,NULL,NULL,NULL,1826-01-01,1829-01-01
idp1374260444,1878-08-07,NULL,NULL,NULL,1893-01-01,1894-01-01
idp1367501532,1873-09-27,1970-03-27,1900-01-01,1907-01-01,1891-01-01,1896-01-01
idp1367501532,1873-09-27,1970-03-27,1907-01-01,1915-01-01,1891-01-01,1896-01-01
idp1367501532,1873-09-27,1970-03-27,1916-01-01,1920-01-01,1891-01-01,1896-01-01
idp1367501532,1873-09-27,1970-03-27,1920-01-01,1946-01-01,1891-01-01,1896-01-01
idp1367501532,1873-09-27,1970-03-27,1900-01-01,1907-01-01,1894-01-01,1895-01-01
idp1367501532,1873-09-27,1970-03-27,1907-01-01,1915-01-01,1894-01-01,1895-01-01
idp1367501532,1873-09-27,1970-03-27,1916-01-01,1920-01-01,1894-01-01,1895-01-01
idp1367501532,1873-09-27,1970-03-27,1920-01-01,1946-01-01,1894-01-01,1895-01-01
idp1371104100,NULL,NULL,NULL,NULL,1780-01-01,1781-01-01
idp1363709940,1797-01-01,1845-01-01,1822-01-14,NULL,1812-01-01,1814-01-01
idp1363709940,1797-01-01,1845-01-01,1819-01-01,1822-01-01,1812-01-01,1814-01-01
idp1363709940,1797-01-01,1845-01-01,1828-01-01,NULL,1812-01-01,1814-01-01
idp1363709940,1797-01-01,1845-01-01,1828-01-01,1837-01-01,1812-01-01,1814-01-01
idp1363709940,1797-01-01,1845-01-01,1837-01-01,1839-01-01,1812-01-01,1814-01-01
idp1363709940,1797-01-01,1845-01-01,1842-01-01,1843-01-01,1812-01-01,1814-01-01
idp1363709940,1797-01-01,1845-01-01,1844-01-01,1845-01-01,1812-01-01,1814-01-01
idp1372251692,1785-01-01,1860-06-02,1803-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1803-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1807-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1813-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1837-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1838-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1846-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1848-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1854-01-01,NULL,1798-01-01,1801-01-01
idp1372251692,1785-01-01,1860-06-02,1853-01-01,NULL,1798-01-01,1801-01-01
idp1375615788,1862-01-01,1951-10-14,1897-01-01,NULL,1886-01-01,1890-01-01
idp1368831716,1783-08-20,1826-03-14,NULL,NULL,1797-01-01,1800-01-01
idp1371762740,NULL,NULL,NULL,NULL,1788-01-01,1790-01-01
idp1366747396,NULL,NULL,NULL,NULL,1813-01-01,1818-01-01
idp1372435756,1763-06-27,NULL,1763-06-27,NULL,1752-01-01,1754-01-01
idp1374510036,1798-05-29,1864-01-01,1815-01-01,NULL,1811-01-01,1812-01-01
idp1363162332,1821-08-15,NULL,NULL,NULL,1835-01-01,1838-01-01
idp1366767236,1834-08-10,1912-12-18,1867-01-01,NULL,1850-01-01,1852-01-01
idp1366767236,1834-08-10,1912-12-18,1867-01-01,NULL,1850-01-01,1852-01-01
idp1375470404,1772-07-04,1846-09-11,NULL,NULL,1786-01-01,1790-01-01
idp1369173212,1860-04-10,1941-02-15,1900-01-01,1934-01-01,1878-01-01,1883-01-01
idp1369173212,1860-04-10,1941-02-15,1900-01-01,1934-01-01,1882-01-01,1888-01-01
idp1363168780,NULL,NULL,1832-01-01,1837-01-01,1826-01-01,1830-01-01
idp1363168780,NULL,NULL,1839-01-01,1841-01-01,1826-01-01,1830-01-01
idp1363168780,NULL,NULL,1846-01-01,NULL,1826-01-01,1830-01-01
idp1368252844,NULL,NULL,1863-01-01,1864-01-01,1851-01-01,1854-01-01
idp1373119460,1856-01-01,1910-07-15,1890-01-01,NULL,1887-01-01,1890-01-01
idp1373119460,1856-01-01,1910-07-15,1903-01-01,1905-01-01,1887-01-01,1890-01-01
idp1368310868,1873-08-19,1947-05-31,1899-01-01,1904-01-01,1893-01-01,1898-01-01
idp1368310868,1873-08-19,1947-05-31,1904-01-01,NULL,1893-01-01,1898-01-01
idp1368310868,1873-08-19,1947-05-31,1906-01-01,1947-05-31,1893-01-01,1898-01-01
idp1362673004,1798-12-25,1863-01-15,1839-01-01,1863-01-15,1824-01-01,1825-01-01
idp1367770812,1854-12-21,1896-12-15,NULL,NULL,1870-01-01,1872-01-01
idp1369923076,NULL,1796-04-08,1748-01-01,1749-01-01,1744-01-01,1748-01-01
idp1369923076,NULL,1796-04-08,1758-01-01,NULL,1744-01-01,1748-01-01
idp1369923076,NULL,1796-04-08,1767-01-01,1796-04-08,1744-01-01,1748-01-01
idp1369923076,NULL,1796-04-08,1748-01-01,1749-01-01,1748-01-01,1749-01-01
idp1369923076,NULL,1796-04-08,1758-01-01,NULL,1748-01-01,1749-01-01
idp1369923076,NULL,1796-04-08,1767-01-01,1796-04-08,1748-01-01,1749-01-01
idp1369806004,NULL,NULL,NULL,NULL,1821-01-01,1822-01-01
idp1365303004,1850-01-09,1939-04-14,1880-01-01,1884-01-01,1876-01-01,1880-01-01
idp1365303004,1850-01-09,1939-04-14,1885-01-01,1939-04-14,1876-01-01,1880-01-01
idp1368853116,1805-06-12,NULL,1830-01-01,1838-01-01,1824-01-01,1828-01-01
idp1368853116,1805-06-12,NULL,1838-01-01,NULL,1824-01-01,1828-01-01
idp1368853116,1805-06-12,NULL,1830-01-01,1838-01-01,1829-01-01,1831-01-01
idp1368853116,1805-06-12,NULL,1838-01-01,NULL,1829-01-01,1831-01-01
idp1366275884,NULL,NULL,NULL,NULL,1819-01-01,1821-01-01
idp1365303004,1850-01-09,1939-04-14,1880-01-01,1884-01-01,1879-01-01,1880-01-01
idp1365303004,1850-01-09,1939-04-14,1885-01-01,1939-04-14,1879-01-01,1880-01-01
idp1374914332,NULL,NULL,NULL,NULL,1833-01-01,1834-01-01
idp1365379716,1806-12-18,1828-08-09,NULL,NULL,1821-01-01,1823-01-01
idp1369549852,1809-12-31,1894-05-08,1829-01-01,NULL,1823-01-01,1825-01-01
idp1369549852,1809-12-31,1894-05-08,1828-01-01,NULL,1823-01-01,1825-01-01
idp1369549852,1809-12-31,1894-05-08,1830-01-01,NULL,1823-01-01,1825-01-01
idp1369549852,1809-12-31,1894-05-08,1865-01-01,NULL,1823-01-01,1825-01-01
idp1369549852,1809-12-31,1894-05-08,1866-01-01,NULL,1823-01-01,1825-01-01
idp1369633252,1810-05-13,NULL,NULL,NULL,1825-01-01,1829-01-01
idp1369190964,1860-06-13,NULL,NULL,NULL,1880-01-01,1881-01-01
